timestamp,PRESSURE_T1,PRESSURE_T2,PRESSURE_T3,PRESSURE_T4,PRESSURE_T5,PRESSURE_T6,PRESSURE_T7
11.75,0.8294,1.4416,3.2599,2.0906,4.2931,5.0707,1.4554
12,0.7481,1.3217,3.3285,2.1874,4.2658,5.0259,1.2474
12.25,0.6718,1.2055,3.3979,2.2813,4.2511,4.9754,1.022
12.2744,0.6643,1.1942,3.4046,2.2904,4.2496,4.9704,1.0001
12.5,0.5955,1.0902,3.4668,2.3739,4.2361,4.9237,0.7987
12.6217,0.5505,1.0315,3.5,2.4181,4.2205,4.9632,0.8164
12.75,0.5031,0.9698,3.5349,2.4643,4.204,5.0042,0.8335
12.7583,0.5,0.9658,3.5372,2.4673,4.2029,5.0068,0.8346
13,0.411,0.85,3.6028,2.5537,4.1718,5.0836,0.8665
13.25,0.3548,0.7513,3.6714,2.6363,4.1363,5.1739,0.9507
13.5,0.2987,0.6535,3.7397,2.718,4.1007,5.2638,1.0341
13.75,0.2426,0.5567,3.8076,2.7985,4.0651,5.3534,1.1167
13.8978,0.2095,0.5,3.8475,2.8456,4.0441,5.4062,1.165
14,0.1866,0.461,3.8751,2.8779,4.0295,5.4426,1.1983
14.1625,0.1538,0.4012,3.9158,2.9535,4.0185,5.5,1.2477
14.25,0.1369,0.3694,3.9377,2.9939,4.0133,5.5,1.2962
14.5,0.0886,0.279,4,3.1091,3.9986,5.5,1.4344
14.75,0.0404,0.1895,4.062,3.2231,3.9838,5.5,1.5712
14.9594,0,0.1153,4.1136,3.3176,3.9714,5.5,1.6846
15,0,0.0909,4.123,3.3342,3.9666,5.5,1.7
15.1381,0,0.0001,4.1562,3.3654,3.929,5.5,1.7033
15.25,0,0.0001,4.1603,3.334,3.8826,5.5,1.6629
15.5,0,0.0001,4.1694,3.2639,3.7791,5.5,1.5729
15.75,0,0.0001,4.1784,3.1942,3.6758,5.5,1.4834
16,0,0.0001,4.1872,3.1248,3.5728,5.5,1.3944
16.22,0,0.0001,4.1831,3,3.4511,5.4775,1.2104
16.25,0,0.0001,4.1826,2.9831,3.4345,5.4747,1.1852
16.4703,0,0.0001,4.1782,2.8587,3.3127,5.4547,1
16.5,0,0.0001,4.1776,2.842,3.2963,5.4519,0.9752
16.75,0,0.0001,4.1725,2.7016,3.1585,5.428,0.7674
17,0,0.0001,4.1672,2.5619,3.0209,5.403,0.5618
17.25,0,0.0001,4.1506,2.4127,2.9031,5.4054,0.4317
17.5,0,0.0001,4.1339,2.2642,2.7855,5.4066,0.3034
17.75,0,0.0001,4.1169,2.1166,2.6682,5.4065,0.1768
17.9486,0,0.0001,4.1034,2,2.5753,5.4054,0.0776
18,0,0.0001,4.0999,1.97,2.5513,5.4049,0.0522
18.25,0,0.0001,4.0862,1.8117,2.3798,5.4421,0.0423
18.5,0,0.0001,4.0724,1.6544,2.2089,5.4782,0.0327
18.6531,0,0.0001,4.0638,1.5586,2.1045,5.5,0.0268
18.75,0,0.0001,4.0586,1.4986,2.0392,5.5,0.0338
19,0,0.0001,4.0451,1.3443,1.8709,5.5,0.0511
19.115,0,0.0001,4.0408,1.3208,1.8286,5.5,0
19.25,0,0.0001,4.035,1.2916,1.7768,5.4761,0
19.5,0,0.0001,4.0242,1.2375,1.681,5.4321,0
19.75,0,0.0001,4.0134,1.1837,1.5855,5.3882,0
19.9744,0,0.0001,4.0036,1.1356,1.5,5.3488,0
20,0,0.0001,4.0025,1.1301,1.4903,5.3444,0
20.25,0,0.0001,3.9956,1.0193,1.4071,5.3257,0
20.5,0,0.0001,3.9886,0.9091,1.3241,5.3068,0
20.75,0,0.0001,3.9815,0.7995,1.2414,5.2879,0
21,0,0.0001,3.9742,0.6906,1.1588,5.2688,0
21.25,0,0.0001,3.9636,0.6029,1.0595,5.2264,0
21.5,0,0.0001,3.9529,0.5157,0.9604,5.1839,0
21.75,0,0.0001,3.9421,0.4289,0.8616,5.1415,0
22,0,0.0001,3.9312,0.3426,0.7631,5.0992,0
22.25,0,0.0001,3.9469,0.2385,0.6731,5.1455,0
22.5,0,0.0001,3.9624,0.1351,0.5835,5.1908,0.0001
22.7336,0,0.0001,3.9767,0.0391,0.5,5.2327,0.0002
22.7356,0,0.0001,3.9768,0.0382,0.4998,5.233,0
22.75,0,0.0001,3.9774,0.0316,0.4984,5.234,0
22.8194,0,0.0001,3.9801,0.0001,0.4918,5.239,0
23,0,0.0001,3.9715,0.0001,0.4651,5.2373,0
23.25,0,0.0001,3.9994,0.0199,0.4962,5.1997,0
23.5,0,0.0001,4.0271,0.0397,0.5272,5.1624,0
23.75,0,0.0001,4.0548,0.0594,0.558,5.1254,0
24,0,0.0001,4.0825,0.0791,0.5887,5.0887,0
24.25,0,0.0001,4.0932,0.0306,0.6085,5.1208,0
24.4092,0,0.0001,4.1,0,0.6211,5.141,0
24.5,0,0.0001,4.1009,0,0.6263,5.1498,0
24.75,0,0.0001,4.1032,0,0.6404,5.1742,0
25,0,0.0001,4.1055,0,0.6545,5.1985,0
25.25,0,0.0001,4.1501,0.1969,0.7335,5.2564,0.0384
25.5,0,0.0001,4.1947,0.3929,0.8124,5.3142,0.0771
25.75,0,0.0001,4.2394,0.5879,0.8911,5.3718,0.1159
26,0,0.0001,4.2842,0.7819,0.9697,5.4295,0.155
26.1842,0,0.0001,4.331,0.9788,1.0484,5.5,0.3039
26.25,0,0.0001,4.3481,1.0499,1.0782,5.5,0.3744
26.5,0,0.0001,4.4131,1.3194,1.1911,5.5,0.6416
26.75,0,0.0001,4.4783,1.5877,1.304,5.5,0.9073
27,0,0.0001,4.5435,1.8548,1.4169,5.5,1.1715
27.25,0,0.0001,4.6366,2.1749,1.5819,5.5,1.532
27.5,0,0.0001,4.7298,2.4936,1.7468,5.5,1.8906
27.75,0,0.0001,4.8231,2.8109,1.9115,5.5,2.2471
28,0,0.0001,4.9165,3.1269,2.0761,5.5,2.6017
28.25,0,0.0001,5.0222,3.4291,2.2986,5.5,2.9682
28.2719,0,0.0001,5.0315,3.4556,2.3181,5.5,3.0001
28.3072,0,0.0001,5.0471,3.4999,2.3524,5.5,3.0173
28.5,0,0.0001,5.1326,3.7421,2.5396,5.5,3.1096
28.75,0,0.0314,5.2623,3.7922,2.7989,5.5,3.2523
28.8228,0,0.0406,5.3,3.8067,2.8742,5.5,3.2937
28.9447,0,0.056,5.3631,3.8311,3.0001,5.5,3.363
29,0.0032,0.0789,5.3485,3.8432,3.0399,5.5,3.3976
29.25,0.026,0.1863,5.2515,3.9272,3.1619,5.5,3.5242
29.5,0.0491,0.2927,5.1545,4.0112,3.2837,5.5,3.6504
29.75,0.0726,0.3981,5.0576,4.0952,3.4052,5.5,3.7761
30,0.0965,0.5025,4.9606,4.1792,3.5265,5.5,3.9014
30.25,0.1237,0.6071,4.8598,4.1946,3.5797,5.5,4.0683
30.5,0.1512,0.7106,4.7589,4.2102,3.6328,5.5,4.2346
30.75,0.179,0.8133,4.6581,4.2261,3.6859,5.5,4.4001
31,0.207,0.9149,4.5573,4.2422,3.739,5.5,4.565
31.25,0.1967,1.0009,4.4383,4.2562,3.7808,5.4917,4.3705
31.5,0.1869,1.0856,4.3194,4.2704,3.8224,5.4822,4.1784
31.75,0.1777,1.1689,4.2004,4.2848,3.8639,5.4709,3.9891
32,0.1689,1.251,4.0814,4.2994,3.9053,5.458,3.8027
32.25,0.1658,1.3326,3.9632,4.0716,3.9081,5.4047,3.4914
32.5,0.1632,1.4128,3.845,3.8449,3.9108,5.3499,3.1832
32.75,0.1609,1.4916,3.7268,3.6191,3.9136,5.2938,2.878
33,0.1589,1.5691,3.6086,3.3943,3.9162,5.2364,2.5758
33.0619,0.1553,1.5868,3.5751,3.3414,3.917,5.2215,2.5
33.25,0.1443,1.6402,3.4731,3.1809,3.9195,5.1758,2.2705
33.4628,0.1321,1.6998,3.3577,2.9999,3.9223,5.1234,2.0127
33.5,0.13,1.7101,3.3375,2.9683,3.9228,5.1141,1.968
33.75,0.1162,1.7787,3.202,2.7565,3.9259,5.0513,1.6678
34,0.1027,1.846,3.0664,2.5456,3.929,4.9873,1.3705
34.1181,0.1005,1.8783,3,2.4153,3.9261,4.9747,1.3025
34.25,0.096,1.8676,3.0455,2.2683,3.9228,4.9603,1.2269
34.4914,0.0877,1.8484,3.1276,1.9999,3.9168,4.9336,1.0894
34.5,0.0871,1.8448,3.1304,2.0021,3.9166,4.9326,1.0845
34.6497,0.0773,1.7812,3.1789,2.0406,3.9127,4.9155,1.0001
34.75,0.0706,1.7389,3.2113,2.0662,3.9102,4.9038,0.9439
35,0.0356,1.6315,3.2917,2.1293,3.8881,5.0021,1.0597
35.25,0.0037,1.5305,3.386,2.3077,3.8428,5.0832,1.0903
35.2789,0,1.519,3.3969,2.3281,3.8376,5.0926,1.0939
35.5,0,1.3943,3.4779,2.4789,3.789,5.1571,1.1024
35.5606,0,1.3605,3.5,2.5199,3.7757,5.1747,1.1047
35.75,0,1.2548,3.5691,2.6476,3.7341,5.2295,1.1118
36,0,1.1164,3.6599,2.8149,3.6792,5.3014,1.121
36.25,0,0.9871,3.7646,2.8923,3.7143,5.414,1.3335
36.4411,0,0.8892,3.8442,2.9505,3.741,5.5,1.4945
36.5,0,0.8605,3.8688,2.9685,3.7502,5.5,1.5618
36.75,0,0.7386,3.9728,3.0444,3.7889,5.5,1.8468
37,0,0.6181,4.0763,3.1192,3.8275,5.5,2.1293
37.25,0,0.5066,4.1416,3.3696,3.8404,5.5,2.4979
37.265,0,0.5,4.1455,3.3845,3.8412,5.5,2.5198
37.3814,0,0.4488,4.1757,3.5,3.8472,5.5,2.6899
37.5,0,0.4402,4.2084,3.4656,3.8544,5.5,2.8653
37.5914,0,0.4336,4.2336,3.4392,3.8599,5.5,3
37.75,0,0.4222,4.2772,3.3933,3.8695,5.5,3.2331
38,0,0.426,4.3459,3.3213,3.8977,5.5,3.3147
38.25,0,0.4095,4.4333,3.152,3.9132,5.4371,3.0739
38.475,0,0.3945,4.5118,3.0001,3.9268,5.3942,2.8424
38.5,0,0.3928,4.5205,2.9833,3.9283,5.3894,2.8168
38.75,0,0.3761,4.6075,2.815,3.9433,5.3415,2.5611
38.8103,0,0.372,4.6284,2.7746,3.9469,5.3296,2.5001
39,0,0.3593,4.6942,2.6474,3.9582,5.2921,2.3084
39.25,0,0.3204,4.7802,2.4843,3.9913,5.2683,2.1566
39.5,0,0.2817,4.8659,2.3217,4.0242,5.2434,2.0066
39.75,0,0.2432,4.9512,2.1595,4.057,5.2176,1.8584
39.9964,0,0.2054,5.0351,2,4.0891,5.1911,1.714
40,0,0.2049,5.0363,1.9977,4.0895,5.1907,1.7119
40.25,0,0.0981,5.1104,2.1125,4.1032,5.1615,1.5602
40.4819,0,0,5.1787,2.2178,4.1157,5.1335,1.4209
40.5,0,0,5.1818,2.2202,4.1151,5.1305,1.4083
40.75,0,0,5.2239,2.2533,4.1063,5.0879,1.2338
41,0,0,5.2658,2.2862,4.0975,5.0444,1.0612
41.0967,0,0,5.2871,2.3367,4.1025,5.0294,1
41.1669,0,0,5.3,2.3672,4.0988,5.051,1.0166
41.25,0,0,5.2557,2.4262,4.1005,5.081,1.0485
41.5,0,0,5.1221,2.6035,4.1055,5.1712,1.1443
41.75,0,0,4.9886,2.7799,4.1106,5.2614,1.2398
42,0,0,4.8551,2.9555,4.1158,5.3515,1.3348
42.25,0,0,4.7143,3.0497,4.0902,5.437,1.4297
42.4347,0,0,4.6102,3.119,4.0714,5.5,1.4995
42.5,0,0,4.5734,3.1443,4.0658,5.5,1.5406
42.75,0,0,4.4325,3.2411,4.0446,5.5,1.6978
43,0,0,4.2917,3.3375,4.0235,5.5,1.8539
43.25,0,0,4.1309,3.2701,3.9242,5.5,1.991
43.5,0,0,3.9702,3.2031,3.8252,5.5,2.1267
43.75,0,0,3.8094,3.1365,3.7266,5.5,2.2608
44,0,0,3.6487,3.0703,3.6284,5.5,2.3936
44.1947,0,0,3.5274,3,3.5374,5.5,2.5274
44.25,0,0,3.4929,2.9801,3.5117,5.5,2.5651
44.5,0,0,3.3371,2.8904,3.3954,5.5,2.7351
44.75,0,0,3.1814,2.8012,3.2796,5.5,2.9034
44.8953,0,0,3.0909,2.7497,3.2125,5.5,3.0001
45,0,0,3.0256,2.7208,3.1725,5.498,2.9614
45.0364,0,0,3.0001,2.715,3.1568,5.4867,2.9093
45.25,0,0,2.85,2.6808,3.0645,5.4223,2.6014
45.3161,0,0,2.8504,2.6504,3.0309,5.4002,2.5002
45.5,0,0,2.8514,2.566,2.9374,5.3385,2.2192
45.75,0,0,2.8526,2.4515,2.8105,5.2535,1.8397
46,0,0,2.8536,2.3376,2.6837,5.1672,1.4635
46.25,0,0,2.8534,2.3357,2.6058,5.0743,1.058
46.2861,0,0,2.8534,2.3355,2.5946,5.0607,0.9999
46.5,0,0,2.8448,2.3146,2.506,5.0656,0.8472
46.75,0,0,2.8347,2.2903,2.4027,5.0697,0.6708
47,0,0,2.8246,2.266,2.2997,5.0725,0.4969
47.25,0,0,2.8175,2.1965,2.2077,5.0519,0.2978
47.5,0,0,2.8104,2.1272,2.116,5.0304,0.1011
47.63,0,0,2.8066,2.0914,2.0684,5.0187,0
47.75,0,0,2.8017,2.0552,2.0204,4.9756,0
47.9333,0,0,2.7941,2,1.9472,4.9101,0
48,0,0,2.7913,1.98,1.9206,4.8863,0
48.25,0,0,2.8467,2.2452,1.8818,4.959,0.0525
48.5,0,0,2.9023,2.5093,1.8434,5.0307,0.1042
48.75,0,0,2.9579,2.7719,1.8053,5.1023,0.1559
49,0,0,3.0135,3.0332,1.7675,5.1737,0.2076
49.25,0,0,3.0665,3.2362,1.8186,5.2855,0.4564
49.5,0,0,3.1196,3.4383,1.8698,5.3975,0.7035
49.5767,0,0,3.1359,3.5,1.8855,5.4319,0.7787
49.7114,0,0.0033,3.1794,3.4716,1.9228,5.5,0.932
49.75,0,0.0053,3.1918,3.4634,1.9341,5.5,0.9885
50,0,0.0181,3.2724,3.4108,2.0076,5.5,1.3542
50.25,0,0.0334,3.3758,3.3448,2.0812,5.5,1.6935
50.5,0,0.0493,3.4784,3.289,2.1548,5.5,2.0303
50.5528,0,0.0526,3.5,3.2773,2.1704,5.5,2.101
50.75,0,0.0653,3.5807,3.2335,2.2284,5.5,2.3645
51,0,0.0814,3.6829,3.1783,2.3019,5.5,2.6967
51.2044,0.0017,0.108,3.7805,3.2216,2.3811,5.5,2.9998
51.25,0.0021,0.1138,3.8022,3.2313,2.3988,5.5,3.0669
51.5,0.0176,0.1476,3.9214,3.2843,2.5051,5.5,3.1378
51.75,0.0334,0.1812,4.0404,3.3373,2.6112,5.5,3.2054
52,0.0492,0.2146,4.1592,3.3901,2.717,5.5,3.2728
52.2222,0.0636,0.2449,4.2659,3.5,2.8276,5.5,3.3564
52.25,0.0654,0.2487,4.2793,3.5137,2.8414,5.5,3.3669
52.5,0.0816,0.2827,4.3992,3.6369,2.9656,5.5,3.4606
52.5694,0.0862,0.2922,4.4324,3.6711,3,5.5,3.4866
52.75,0.098,0.3166,4.5188,3.7598,3.0894,5.5,3.5539
53,0.1145,0.3505,4.6383,3.8824,3.213,5.5,3.647
53.25,0.1295,0.3805,4.7457,3.8809,3.3108,5.5,3.7913
53.5,0.1446,0.4105,4.8529,3.8793,3.4084,5.5,3.935
53.75,0.1598,0.4402,4.9599,3.8779,3.5058,5.5,4.078
54,0.1752,0.4698,5.0667,3.8766,3.603,5.5,4.2205
54.25,0.1951,0.5061,5.1986,3.8641,3.7061,5.5,4.1915
54.4425,0.2105,0.5339,5.2999,3.8547,3.7854,5.5,4.1693
54.5,0.2151,0.5421,5.3302,3.8518,3.809,5.5,4.1628
54.75,0.2411,0.6471,5.2654,3.8443,3.9119,5.5,4.1347
55,0.2674,0.751,5.2007,3.837,4.0146,5.5,4.1071
55.25,0.2843,0.8487,5.0562,3.6569,4.0256,5.5,4.0139
55.5,0.3015,0.9452,4.9117,3.4776,4.0366,5.5,3.9212
55.75,0.3189,1.0404,4.7671,3.2992,4.0476,5.5,3.8292
56,0.3367,1.1346,4.6226,3.1217,4.0586,5.5,3.7378
56.25,0.3176,1.2145,4.4721,3.0466,4.1185,5.4195,3.339
56.4061,0.306,1.2635,4.3781,3,4.1557,5.3709,3.0891
56.5,0.2991,1.2927,4.3215,2.9721,4.1781,5.3414,2.9397
56.75,0.281,1.3698,4.171,2.8979,4.2374,5.2622,2.543
56.7775,0.279,1.3781,4.1544,2.8898,4.2439,5.2533,2.4998
57,0.2634,1.4454,4.0204,2.8243,4.2965,5.1814,2.1502
57.25,0.237,1.5139,3.8654,2.4638,4.2988,5.1333,1.9071
57.5,0.211,1.5807,3.7104,2.1047,4.3011,5.0841,1.6664
57.5731,0.2036,1.5998,3.6651,2.0002,4.3017,5.0694,1.5968
57.75,0.1857,1.6456,3.5554,1.7472,4.3032,5.0336,1.4285
58,0.1566,1.6095,3.4004,1.7425,4.3051,4.9821,1.1923
58.2333,0.1457,1.5874,3.2671,1.9071,4.3036,4.9397,1.0001
58.25,0.1449,1.5858,3.2576,1.9188,4.3035,4.9366,0.9865
58.5,0.1143,1.5595,3.1149,2.0937,4.2858,5.0245,1.0445
58.7011,0.09,1.5387,3.0001,2.2334,4.2716,5.0936,1.0881
58.75,0.0841,1.5337,2.9721,2.2672,4.2682,5.1103,1.0986
59,0.0475,1.4304,3.0523,2.4301,4.2504,5.1957,1.1519
59.25,0.024,1.3328,3.1229,2.5588,4.2151,5.2743,1.1719
59.5,0.0004,1.2366,3.1932,2.6862,4.1799,5.3525,1.1918
59.5036,0,1.2353,3.1942,2.688,4.1794,5.3537,1.1921
59.75,0,1.1113,3.2616,2.8082,4.1376,5.4246,1.1966
60,0,0.9866,3.3296,2.9288,4.0952,5.496,1.2009
60.0083,0,0.9819,3.3315,2.9341,4.0924,5.5,1.2098
60.25,0,0.8498,3.3869,3.0887,4.0179,5.5,1.5437
60.5,0,0.7145,3.4438,3.247,3.9409,5.5,1.886
60.7483,0,0.5816,3.5,3.4027,3.8646,5.5,2.223
60.75,0,0.5807,3.5003,3.4037,3.8641,5.5,2.2252
60.9025,0,0.5,3.5346,3.4983,3.8173,5.5,2.4302
60.9053,0,0.4985,3.5352,3.5,3.8165,5.5,2.4339
61,0,0.4827,3.5583,3.4354,3.7886,5.5,2.5635
61.25,0,0.4594,3.6699,3.1823,3.8054,5.5,2.7327
61.4306,0,0.4427,3.7503,3,3.8175,5.5,2.8539
61.5,0,0.4363,3.7811,2.9301,3.8221,5.5,2.9003
61.6497,0,0.4225,3.8476,2.7794,3.8322,5.5,3
61.75,0,0.4134,3.892,2.6787,3.8389,5.5,3.0664
62,0,0.4163,4.0028,2.4282,3.8716,5.4818,2.9142
62.25,0,0.4091,4.1059,2.4014,3.8529,5.4252,2.6241
62.3578,0,0.406,4.1502,2.3899,3.8448,5.4003,2.5001
62.5,0,0.402,4.2086,2.3747,3.8342,5.3672,2.3372
62.75,0,0.3948,4.3112,2.3481,3.8154,5.3083,2.0523
63,0,0.3878,4.4135,2.3215,3.7967,5.2483,1.7701
63.25,0,0.3955,4.4821,2.1232,3.826,5.2201,1.617
63.4058,0,0.4001,4.5248,2.0001,3.8443,5.2019,1.5226
63.5,0,0.4029,4.5506,1.9258,3.8553,5.1908,1.466
63.75,0,0.3118,4.6154,2.0645,3.8828,5.1599,1.3145
64,0,0.2217,4.6799,2.2016,3.9101,5.1281,1.1646
64.1756,0,0.1476,4.7347,2.3037,3.9198,5.0895,1
64.25,0,0.1164,4.7579,2.3467,3.9238,5.0729,0.9306
64.4719,0,0,4.8256,2.471,3.9167,5.1367,0.9397
64.5,0,0,4.8298,2.4757,3.9128,5.1422,0.9345
64.75,0,0,4.8675,2.5175,3.8781,5.1904,0.888
65,0,0,4.905,2.5591,3.8435,5.2381,0.8423
65.25,0,0,4.9414,2.5528,3.8044,5.2849,0.8102
65.5,0,0,4.9777,2.5466,3.7655,5.3313,0.7787
65.75,0,0,5.0138,2.5405,3.7268,5.3771,0.7479
66,0,0,5.0499,2.5344,3.6881,5.4225,0.7176
66.25,0,0,5.0795,2.5534,3.6506,5.4826,0.7449
66.3225,0,0,5.0881,2.5588,3.6398,5.5,0.7529
66.5,0,0,5.1098,2.5737,3.6152,5.5,0.8056
66.75,0,0,5.1402,2.5948,3.5808,5.5,0.878
67,0,0,5.1707,2.6157,3.5466,5.5,0.9498
67.25,0,0,5.174,2.6128,3.4394,5.5,1.0389
67.5,0,0,5.1773,2.6099,3.3325,5.5,1.127
67.75,0,0,5.1805,2.6069,3.2261,5.5,1.2142
68,0,0,5.1838,2.604,3.1201,5.5,1.3005
68.25,0,0,5.185,2.6094,2.9709,5.5,1.2631
68.5,0,0,5.1862,2.6147,2.8221,5.5,1.2258
68.75,0,0,5.1873,2.6198,2.6739,5.5,1.1885
69,0,0,5.1884,2.6248,2.5261,5.5,1.1512
69.25,0,0,5.1855,2.5255,2.4078,5.5,1.0778
69.5,0,0,5.1824,2.4268,2.2898,5.5,1.0047
69.5161,0,0,5.1821,2.4204,2.2822,5.5,1
69.75,0,0,5.1791,2.3285,2.1722,5.5,0.9318
70,0,0,5.1757,2.2308,2.0547,5.5,0.8593
70.25,0,0,5.159,2.2412,1.9782,5.5,0.8648
70.5,0,0,5.1424,2.2516,1.9019,5.5,0.8701
70.75,0,0,5.1259,2.2618,1.8258,5.5,0.8752
71,0,0,5.1094,2.2718,1.75,5.5,0.8801
71.25,0,0,5.1206,2.1153,1.677,5.5,0.8634
71.4353,0,0,5.1288,2,1.6229,5.5,0.8509
71.5,0,0,5.1316,1.9599,1.604,5.5,0.8465
71.75,0,0,5.1424,1.8052,1.5313,5.5,0.8294
71.8575,0,0,5.1469,1.7391,1.5,5.5,0.822
72,0,0,5.1529,1.6518,1.4587,5.5,0.812
